a,7857,0.00500,"NPTS,",DT
0.04368712,0.02764227,0.01261244,-0.0008561809,-0.01225697
-0.02830982,-0.05673996,-0.0901607,-0.1101359,-0.1021359
-0.06394503,-0.008804857,0.03992037,0.06429233,0.06580796
0.05489705,0.03275914,-0.002624564,-0.03822615,-0.05249855
-0.03800294,-0.004953938,0.02860361,0.04855417,0.05116967
0.04262257,0.02725856,0.005499041,-0.01503448,-0.02508377
-0.02620496,-0.02767012,-0.03450391,-0.04440552,-0.05325479
-0.05952156,-0.06480749,-0.06811194,-0.06184649,-0.03651703
0.01593986,0.0911878,0.1634221,0.2036349,0.2048023
0.1775796,0.1266446,0.04475087,-0.05912302,-0.1514992
-0.2061836,-0.2143046,-0.1751447,-0.0993802,-0.01496166
0.05228081,0.09842433,0.1256253,0.1320127,0.1177668
0.08076691,0.02124153,-0.0459376,-0.09390324,-0.103839
-0.07673873,-0.02818414,0.01532032,0.03690517,0.04450176
0.05041725,0.05476226,0.04938185,0.02761521,-0.009097887
-0.05087857,-0.0824421,-0.09318583,-0.08018324,-0.04424566
0.001180702,0.03146394,0.03791746,0.03491005,0.0362552
0.04451561,0.05733584,0.07159134,0.08075418,0.08007698
0.06808715,0.03943108,-0.008819485,-0.06819517,-0.1204586
-0.151948,-0.1613998,-0.1518752,-0.1245445,-0.08301231
-0.03776179,-0.003028454,0.009839341,-0.000117133,-0.02595015
-0.05687707,-0.08076832,-0.08938925,-0.07906143,-0.04876616
-0.004107408,0.03765909,0.05865475,0.056336,0.04329966
0.02909154,0.01168565,-0.01117443,-0.03786112,-0.0652151
-0.0901554,-0.1086106,-0.1119995,-0.09246617,-0.05009563
0.002554271,0.04195926,0.05216977,0.03967364,0.01757602
-0.01119714,-0.04725355,-0.0831486,-0.1030657,-0.09710825
-0.07072279,-0.03909805,-0.01799623,-0.01132655,-0.007632853
-0.001370658,0.001553311,-0.004020052,-0.0204183,-0.04318884
-0.06294574,-0.07252374,-0.07141766,-0.05855735,-0.03346903
-0.007781828,0.005274887,0.002205463,-0.01277091,-0.03510211
-0.05783433,-0.06801248,-0.06028968,-0.03967881,-0.01542075
0.003649828,0.0146159,0.02000598,0.02144206,0.01209473
-0.0141953,-0.05302379,-0.09337413,-0.1208578,-0.127197
-0.1148875,-0.08862958,-0.0547986,-0.02005824,0.006667385
0.01610693,0.008551252,-0.01142169,-0.03970603,-0.0720314
-0.1031553,-0.1230363,-0.1208139,-0.0977125,-0.06493765
-0.03166546,-0.004928568,0.009452024,0.008248095,-0.006225513
-0.02695303,-0.04596401,-0.05685775,-0.06045594,-0.06016412
-0.05842217,-0.05684692,-0.05266231,-0.04447078,-0.03436616
-0.02400137,-0.01445999,-0.007620118,-0.006879185,-0.01396513
-0.02529313,-0.03608259,-0.04438109,-0.04829401,-0.04772742
-0.04600203,-0.04636314,-0.05036738,-0.05755297,-0.0648531
-0.07213359,-0.08383469,-0.09643296,-0.1010487,-0.09529652
-0.08263313,-0.06978789,-0.05815037,-0.04191473,-0.02314582
-0.01342603,-0.0235939,-0.05715705,-0.1044357,-0.1492206
-0.1786458,-0.1919366,-0.1953816,-0.1885598,-0.1686776
-0.135026,-0.09433876,-0.05706279,-0.03009214,-0.02056381
-0.02865619,-0.04673342,-0.06756526,-0.08820089,-0.1069786
-0.1206137,-0.125585,-0.1161633,-0.08912671,-0.05001128
-0.01194823,0.01065841,0.01538913,0.01233149,0.006890565
-0.003761501,-0.02396128,-0.05249809,-0.080628,-0.09923656
-0.1056971,-0.1031391,-0.09208356,-0.07181203,-0.0475263
-0.03023488,-0.03013129,-0.04643982,-0.06549755,-0.07327519
-0.06751247,-0.05717909,-0.05259794,-0.05427743,-0.0555378
-0.05383305,-0.05303681,-0.05597938,-0.06071604,-0.06269635
-0.05913868,-0.05287836,-0.04843803,-0.04643357,-0.04133021
-0.02770353,-0.009841844,0.0005356015,-0.005034398,-0.02480959
-0.04873594,-0.06691057,-0.07548709,-0.07613479,-0.07126749
-0.06102779,-0.0432748,-0.01840247,0.00732509,0.02592288
0.03008386,0.02047129,0.008297861,0.002665959,0.002541402
